
> travel-onboarding-frontend@1.0.0 dev
> vite


  VITE v5.4.21  ready in 974 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: use --host to expose
7:05:56 PM [vite] hmr update /src/components/ProductSection.vue
7:06:03 PM [vite] hmr update /src/components/ProductSection.vue
7:06:07 PM [vite] hmr update /src/components/ProductSection.vue
7:08:57 PM [vite] hmr update /src/components/ProductSection.vue
7:09:12 PM [vite] hmr update /src/components/ProductSection.vue
7:11:08 PM [vite] hmr update /src/components/ProductSection.vue
7:11:11 PM [vite] hmr update /src/components/ProductSection.vue
7:11:13 PM [vite] hmr update /src/style.css
7:11:15 PM [vite] hmr update /src/style.css
7:11:27 PM [vite] hmr update /src/style.css
7:12:54 PM [vite] hmr update /src/components/ProductSection.vue
7:14:08 PM [vite] hmr update /src/components/ProductSection.vue
7:14:17 PM [vite] hmr update /src/components/ProductSection.vue
7:15:31 PM [vite] hmr update /src/components/ProductSection.vue
7:43:34 PM [vite] hmr update /src/components/ProductSection.vue
7:43:50 PM [vite] hmr update /src/components/ProductSection.vue
7:45:57 PM [vite] hmr update /src/components/ProductSection.vue
7:46:12 PM [vite] hmr update /src/components/ProductSection.vue
7:48:47 PM [vite] hmr update /src/components/ProductSection.vue
7:48:50 PM [vite] hmr update /src/components/ProductSection.vue
7:50:10 PM [vite] hmr update /src/components/ProductSection.vue
7:50:13 PM [vite] hmr update /src/components/ProductSection.vue
8:46:06 PM [vite] hmr update /src/components/ProductSection.vue
8:46:34 PM [vite] hmr update /src/components/ProductSection.vue
8:46:59 PM [vite] hmr update /src/components/ProductSection.vue
8:47:44 PM [vite] hmr update /src/components/ProductSection.vue
8:48:15 PM [vite] hmr update /src/components/ProductSection.vue
9:05:36 PM [vite] hmr update /src/components/ProductSection.vue
9:06:42 PM [vite] hmr update /src/components/ProductSection.vue
9:09:21 PM [vite] hmr update /src/components/ProductSection.vue
11:40:23 PM [vite] hmr update /src/components/ProductSection.vue
11:40:26 PM [vite] hmr update /src/components/ProductSection.vue
11:42:28 PM [vite] hmr update /src/components/ProductSection.vue
11:42:30 PM [vite] hmr update /src/components/ProductSection.vue
11:42:33 PM [vite] hmr update /src/components/ProductSection.vue
11:43:06 PM [vite] hmr update /src/components/ProductSection.vue
11:43:10 PM [vite] hmr update /src/components/ProductSection.vue
11:51:30 PM [vite] hmr update /src/components/ProductSection.vue
11:51:42 PM [vite] hmr update /src/components/ProductSection.vue
11:52:08 PM [vite] hmr update /src/components/ProductSection.vue
11:52:35 PM [vite] hmr update /src/components/ProductSection.vue
11:52:53 PM [vite] hmr update /src/components/ProductSection.vue
11:57:01 PM [vite] hmr update /src/components/ProductSection.vue
12:00:23 AM [vite] hmr update /src/components/ProductSection.vue
12:00:41 AM [vite] hmr update /src/components/ProductSection.vue
12:05:11 AM [vite] hmr update /src/components/ProductSection.vue
12:15:05 AM [vite] hmr update /src/components/ProductSection.vue
12:21:58 AM [vite] hmr update /src/components/RegionsSection.vue
12:22:01 AM [vite] hmr update /src/components/RegionsSection.vue
12:22:04 AM [vite] hmr update /src/components/RegionsSection.vue
12:22:09 AM [vite] hmr update /src/components/ProductSection.vue
12:22:11 AM [vite] hmr update /src/components/ProductSection.vue
12:22:13 AM [vite] hmr update /src/components/ProductSection.vue
12:22:15 AM [vite] hmr update /src/components/ProductSection.vue
12:22:24 AM [vite] hmr update /src/components/ProductSection.vue
12:27:01 AM [vite] hmr update /src/components/ProductSection.vue
12:27:13 AM [vite] hmr update /src/components/ProductSection.vue
10:49:46 AM [vite] hmr update /src/style.css
10:49:50 AM [vite] hmr update /src/style.css
10:49:54 AM [vite] hmr update /src/style.css
10:49:59 AM [vite] hmr update /src/style.css
10:50:04 AM [vite] hmr update /src/style.css
10:50:08 AM [vite] hmr update /src/style.css
10:50:17 AM [vite] hmr update /src/style.css
10:50:24 AM [vite] hmr update /src/style.css
10:50:29 AM [vite] hmr update /src/style.css
10:50:32 AM [vite] hmr update /src/style.css
10:50:44 AM [vite] hmr update /src/style.css
10:50:47 AM [vite] hmr update /src/style.css
10:50:54 AM [vite] hmr update /src/style.css
10:50:57 AM [vite] hmr update /src/style.css
10:51:09 AM [vite] hmr update /src/style.css
10:57:40 AM [vite] hmr update /src/components/ProductSection.vue
10:57:42 AM [vite] hmr update /src/components/ProductSection.vue
10:57:56 AM [vite] hmr update /src/components/ProductSection.vue
10:57:58 AM [vite] hmr update /src/components/ProductSection.vue
10:58:01 AM [vite] hmr update /src/components/ProductSection.vue
10:58:27 AM [vite] hmr update /src/components/ProductSection.vue
10:58:39 AM [vite] hmr update /src/components/ProductSection.vue
11:01:28 AM [vite] hmr update /src/style.css
11:01:39 AM [vite] hmr update /src/components/ProductSection.vue
11:01:49 AM [vite] hmr update /src/style.css
11:02:33 AM [vite] hmr update /src/style.css
11:03:47 AM [vite] hmr update /src/style.css
11:03:49 AM [vite] hmr update /src/components/ProductSection.vue
11:03:52 AM [vite] hmr update /src/components/ProductSection.vue
11:04:01 AM [vite] hmr update /src/style.css
11:05:50 AM [vite] hmr update /src/style.css
11:06:23 AM [vite] hmr update /src/components/ProductSection.vue
11:09:18 AM [vite] hmr update /src/components/ProductSection.vue
11:09:32 AM [vite] hmr update /src/components/ProductSection.vue
11:11:51 AM [vite] hmr update /src/components/ProductSection.vue
11:11:54 AM [vite] hmr update /src/components/ProductSection.vue
11:11:55 AM [vite] hmr update /src/components/ProductSection.vue
11:13:17 AM [vite] hmr update /src/components/ProductSection.vue
11:13:19 AM [vite] hmr update /src/components/ProductSection.vue
11:14:26 AM [vite] hmr update /src/components/ProductSection.vue
11:14:28 AM [vite] hmr update /src/components/ProductSection.vue
11:16:49 AM [vite] hmr update /src/components/ProductSection.vue
11:16:51 AM [vite] hmr update /src/components/ProductSection.vue
11:16:53 AM [vite] hmr update /src/components/ProductSection.vue
11:19:10 AM [vite] hmr update /src/components/ProductSection.vue
11:20:10 AM [vite] hmr update /src/components/ProductSection.vue
11:25:00 AM [vite] hmr update /src/components/RegionsSection.vue
11:25:06 AM [vite] hmr update /src/components/RegionsSection.vue
11:25:09 AM [vite] hmr update /src/components/ProductRulesSection.vue
11:25:30 AM [vite] hmr update /src/components/TemplatesSection.vue
11:25:38 AM [vite] hmr update /src/components/InsuranceSection.vue
11:26:21 AM [vite] hmr update /src/components/TemplatesSection.vue
11:26:38 AM [vite] hmr update /src/components/InsuranceSection.vue
11:27:09 AM [vite] hmr update /src/components/ProductRulesSection.vue
12:53:18 PM [vite] hmr update /src/components/RegionsSection.vue
12:53:41 PM [vite] hmr update /src/components/RegionsSection.vue
12:55:51 PM [vite] hmr update /src/components/RegionsSection.vue
12:56:10 PM [vite] hmr update /src/components/RegionsSection.vue
12:58:41 PM [vite] hmr update /src/components/ProductSection.vue
12:58:59 PM [vite] hmr update /src/components/ProductSection.vue
12:59:09 PM [vite] hmr update /src/components/ProductSection.vue
12:59:30 PM [vite] hmr update /src/components/ProductSection.vue
1:00:32 PM [vite] hmr update /src/components/ProductSection.vue
1:00:56 PM [vite] hmr update /src/components/ProductSection.vue
1:02:03 PM [vite] hmr update /src/components/ProductSection.vue
1:06:32 PM [vite] hmr update /src/components/RegionsSection.vue
1:20:28 PM [vite] hmr update /src/App.vue
2:17:24 PM [vite] hmr update /src/App.vue
2:17:27 PM [vite] hmr update /src/App.vue
2:17:30 PM [vite] hmr update /src/App.vue
2:28:13 PM [vite] hmr update /src/components/CommissionSection.vue
2:28:25 PM [vite] hmr update /src/components/CommissionSection.vue
2:28:30 PM [vite] hmr update /src/components/CommissionSection.vue
2:28:35 PM [vite] hmr update /src/components/CommissionSection.vue
2:28:41 PM [vite] hmr update /src/components/CommissionSection.vue
2:28:46 PM [vite] hmr update /src/components/CommissionSection.vue
2:28:51 PM [vite] hmr update /src/components/CommissionSection.vue
2:28:56 PM [vite] hmr update /src/components/CommissionSection.vue
2:29:00 PM [vite] hmr update /src/components/CommissionSection.vue
2:29:06 PM [vite] hmr update /src/components/CommissionSection.vue
2:29:11 PM [vite] hmr update /src/components/CommissionSection.vue
2:29:17 PM [vite] hmr update /src/components/CommissionSection.vue
2:29:22 PM [vite] hmr update /src/components/CommissionSection.vue
2:36:25 PM [vite] hmr update /src/components/CommissionSection.vue
2:36:30 PM [vite] hmr update /src/components/CommissionSection.vue
3:30:59 PM [vite] hmr update /src/components/CommissionSection.vue
3:31:12 PM [vite] hmr update /src/components/CommissionSection.vue
3:31:17 PM [vite] hmr update /src/components/CommissionSection.vue
3:31:22 PM [vite] hmr update /src/components/CommissionSection.vue
3:31:31 PM [vite] hmr update /src/components/CommissionSection.vue
3:31:57 PM [vite] hmr update /src/components/CommissionSection.vue
3:35:25 PM [vite] hmr update /src/components/CommissionSection.vue
3:35:34 PM [vite] hmr update /src/components/CommissionSection.vue
3:37:48 PM [vite] hmr update /src/components/CommissionSection.vue
10:35:15 PM [vite] hmr update /src/components/CommissionSection.vue
10:41:26 PM [vite] hmr update /src/components/CommissionSection.vue
10:41:32 PM [vite] hmr update /src/components/CommissionSection.vue
10:41:51 PM [vite] hmr update /src/components/CommissionSection.vue
10:41:55 PM [vite] hmr update /src/components/CommissionSection.vue
10:41:57 PM [vite] hmr update /src/components/CommissionSection.vue
10:42:08 PM [vite] hmr update /src/components/CommissionSection.vue
10:42:17 PM [vite] hmr update /src/components/CommissionSection.vue
10:42:20 PM [vite] hmr update /src/components/CommissionSection.vue
10:42:26 PM [vite] hmr update /src/components/CommissionSection.vue
10:55:01 PM [vite] hmr update /src/components/CommissionSection.vue
10:55:20 PM [vite] hmr update /src/components/CommissionSection.vue
10:55:36 PM [vite] hmr update /src/components/CommissionSection.vue
10:55:55 PM [vite] hmr update /src/components/CommissionSection.vue
10:56:05 PM [vite] hmr update /src/components/CommissionSection.vue
10:56:10 PM [vite] hmr update /src/components/CommissionSection.vue
11:12:59 PM [vite] hmr update /src/components/CommissionSection.vue
11:19:08 PM [vite] hmr update /src/components/CommissionSection.vue
11:19:27 PM [vite] hmr update /src/components/CommissionSection.vue
11:19:44 PM [vite] hmr update /src/components/CommissionSection.vue
11:24:10 PM [vite] hmr update /src/components/CommissionSection.vue
11:24:20 PM [vite] hmr update /src/components/CommissionSection.vue
11:24:21 PM [vite] hmr update /src/components/CommissionSection.vue
11:24:22 PM [vite] hmr update /src/components/CommissionSection.vue
11:24:23 PM [vite] hmr update /src/components/CommissionSection.vue
11:24:24 PM [vite] hmr update /src/components/CommissionSection.vue
11:28:43 PM [vite] hmr update /src/components/CommissionSection.vue
11:32:17 PM [vite] hmr update /src/components/CommissionSection.vue
11:35:26 PM [vite] hmr update /src/components/CommissionSection.vue
11:35:49 PM [vite] hmr update /src/components/CommissionSection.vue
11:36:04 PM [vite] hmr update /src/components/CommissionSection.vue
11:36:18 PM [vite] hmr update /src/components/CommissionSection.vue
11:42:13 PM [vite] hmr update /src/components/CommissionSection.vue
11:42:26 PM [vite] hmr update /src/components/CommissionSection.vue
11:42:32 PM [vite] hmr update /src/components/CommissionSection.vue
11:42:35 PM [vite] hmr update /src/components/CommissionSection.vue
11:42:38 PM [vite] hmr update /src/components/CommissionSection.vue
11:42:41 PM [vite] hmr update /src/components/CommissionSection.vue
11:42:45 PM [vite] hmr update /src/components/CommissionSection.vue
11:42:48 PM [vite] hmr update /src/components/CommissionSection.vue
11:42:54 PM [vite] hmr update /src/components/CommissionSection.vue
11:49:07 PM [vite] hmr update /src/components/CommissionSection.vue
11:51:44 PM [vite] hmr update /src/components/CommissionSection.vue
